part,label,domain,status,regime,initial_mean_psi,final_mean_psi,final_mean_phi,final_mean_C,errors
Part A,climate and atmosphere,climate,ok,overload,1.2102564102564102,1.2098141699885259,0.59,0.48555389480519584,
Part A,ocean transport,oceanography,ok,overload,2.1666666666666665,2.172492511963382,0.325,0.14940119840159874,
Part A,hydrological flow,hydrology,ok,overload,2.75,2.768245926743357,0.55,0.19920159786879837,
Part A,biodiversity network,biodiversity,ok,overload,3.799999999999998,3.8425886637269646,0.57,0.14940119840159874,
Part A,pollution constraint,pollution,ok,overload,2.56,2.5763758962957315,0.64,0.24900199733599784,
Part B,energy systems,energy_systems,ok,overload,30.177777777777777,33.774951175778256,0.7544444444444445,0.024900199733599797,
Part B,network routing,networks,ok,overload,36.5609756097561,41.85599737054252,0.7495,0.020418163781551826,
Part B,cloud capacity,cloud_computing,ok,overload,7.558208955223882,7.770124545974156,0.7596,0.10009880292907114,
Part B,artificial intelligence,artificial_intelligence,ok,overload,4.533333333333332,4.601517502948771,0.68,0.14940119840159874,
Part C,macroeconomic flow,economics,ok,stable,1.0,1.00002681818693,1.0,0.9960079893439914,
Part C,trade corridors,trade_routes,ok,overload,2.75,2.768245926743357,0.55,0.19920159786879837,
Part C,migration pressure,migration,ok,constrained,0.5777777777777778,0.5756362986993145,0.26,0.4482035952047962,
Part C,education throughput,education,ok,overload,2.933333333333334,2.961574422190224,0.8800000000000001,0.2988023968031974,
Part C,governance pressure,politics,ok,overload,1.4999999999999998,1.5018376581518456,0.6,0.39840319573759675,
Part D,consciousness,consciousness,ok,overload,57.00000000000001,69.84004885226828,0.5700000000000001,0.009960079893439914,
Part D,epidemiology,epidemiology,ok,overload,1.325757575757576,1.3279988219014252,0.875,0.6573652729670343,
Part D,geology,geology,ok,constrained,0.28571428571428575,0.2842331821481348,0.2,0.6972055925407941,
Part D,quantum mechanics,quantum_mechanics,ok,overload,1.7307692307692304,1.7333771531923452,0.45,0.2589620772294378,
Part D,ecology,ecology,ok,overload,12.5,13.099731919706588,0.75,0.05976047936063949,
Part D,information flow,information_theory,ok,overload,3.7142857142857144,3.756665017841029,0.6499999999999999,0.17430139813519852,
Part D,immune response,immunology,ok,overload,2.0,2.006053053824441,0.5,0.24900199733599784,
Part D,population genetics,genetics,ok,overload,9.499999999999998,9.855443403116608,0.95,0.09960079893439919,
Part F,astrophysics,astrophysics,ok,stable,1.0423728813559323,1.0392904931118707,0.205,0.1958815712376516,
Part F,nuclear dynamics,nuclear_physics,ok,overload,2.066666666666667,2.0750514803261253,0.6200000000000001,0.2988023968031974,
Part F,plasma dynamics,plasma_physics,ok,stable,0.9714285714285714,0.9688372735041967,0.33999999999999997,0.34860279627039703,
Part G,language evolution,linguistics,ok,overload,2.013636363636364,2.0191609483974204,0.443,0.2191217576556781,
Part G,science paradigms,epistemology,ok,overload,2.888888888888889,2.9117025535364602,0.6499999999999999,0.2241017976023981,
